NAMA BAHAN,Food Group,Type,ENERGI (Kal),PROTEIN (g),LEMAK (g),KH (g),SERAT (g)
Komak segar,sayuran,single,99.0,3.3,0.1,21.2,10.3
Kool kembang,sayuran,single,25.0,2.4,0.2,4.9,1.6
Kool merah kool putih,sayuran,single,29.0,1.4,0.2,5.3,1.9
Koro wedus polong,sayuran,single,46.0,3.0,0.3,7.9,3.3
Kucai segar,sayuran,single,45.0,2.2,0.3,10.3,4.8
Kucai muda (Lokio) segar,sayuran,single,42.0,3.8,0.6,7.8,4.9
Kulit melinjo,sayuran,single,111.0,4.5,1.1,20.7,5.0
Kundur segar,sayuran,single,22.0,0.4,0.2,4.7,1.3
Labu air segar,sayuran,single,19.0,0.6,0.2,3.8,0.6
Labu kuning segar,sayuran,single,51.0,1.7,0.5,10.0,2.7
Labu siam segar,sayuran,single,30.0,0.6,0.1,6.7,6.2
Labu waluh segar,sayuran,single,32.0,1.1,0.1,6.6,0.5
Lantar segar,sayuran,single,34.0,2.2,0.3,5.5,2.9
Lobak segar,sayuran,single,21.0,0.9,0.1,4.2,1.4
Lumai/Leunca segar,sayuran,single,38.0,1.1,0.3,7.6,2.0
Mostarda metan -sawi,sayuran,single,33.0,2.3,0.5,4.7,1.8
Nangka muda segar,sayuran,single,57.0,2.0,0.4,11.3,8.3
Paria putih segar,sayuran,single,19.0,1.0,0.4,3.6,1.3
Pepare ular segar,sayuran,single,19.0,0.6,0.1,3.9,1.0
Pepaya muda segar,sayuran,single,29.0,2.1,0.1,4.9,2.1
Petai segar,sayuran,single,92.0,5.4,1.1,15.2,2.0
Peterseli segar,sayuran,single,53.0,3.7,1.0,9.0,0.0
Putri malu segar,sayuran,single,76.0,3.6,0.3,14.6,7.1
Jagung pipil var harapan kering,serealia,single,367.0,6.2,5.1,76.2,2.6
Jagung pipil var metro kering,serealia,single,368.0,5.5,4.6,78.0,2.9
Nasi,serealia,processed food,180.0,3.0,0.3,39.8,0.2
Nasi tim,serealia,processed food,120.0,2.4,0.4,26.0,0.5
Jagung muda rebus,serealia,processed food,142.0,5.0,0.7,30.3,0.8
Jagung kuning tepung,serealia,processed food,355.0,9.2,3.9,73.7,7.2
Jagung kuning pipil rebus,serealia,processed food,154.0,3.8,3.5,28.4,0.7
Jagung tepung putih,serealia,processed food,355.0,9.2,3.9,73.7,7.2
Ketan ketupat,serealia,processed food,212.0,4.0,4.6,38.6,0.2
Ketan hitam matang,serealia,processed food,181.0,4.0,1.2,37.3,0.3
Ketan hitam tapai,serealia,processed food,166.0,3.8,1.0,34.4,0.3
Ketan putih matang,serealia,processed food,163.0,3.0,0.4,35.7,0.2
Ketan putih tapai,serealia,processed food,172.0,3.0,0.5,37.5,0.6
Maizena tepung,serealia,processed food,341.0,0.3,0.0,85.0,7.0
Mi basah,serealia,processed food,88.0,0.6,3.3,14.0,0.1
Mi kering,serealia,processed food,339.0,10.0,1.7,6.3,0.4
Misoa,serealia,processed food,345.0,8.5,2.2,78.0,0.5
Roti putih,serealia,processed food,248.0,8.0,1.2,50.0,9.1
Tepung terigu,serealia,processed food,333.0,9.0,1.0,77.2,0.3
Biskuit,serealia,processed food,458.0,6.9,14.4,75.1,2.1
Bakpia kue,serealia,processed food,272.0,8.7,6.7,44.1,0.9
Bakwan,serealia,processed food,280.0,8.2,10.2,39.0,3.4
Bantal,serealia,processed food,190.0,3.3,0.3,43.5,3.4
Bika ambon,serealia,processed food,199.0,2.1,1.5,44.4,0.3
Brem,serealia,processed food,249.0,3.4,0.4,58.0,0.0
Bubur tinotuan (Manado),serealia,processed food,156.0,2.3,0.2,15.6,8.2
Cake tape,serealia,processed food,323.0,4.9,11.5,50.1,1.4
Dodol bali,serealia,processed food,298.0,3.7,2.1,65.9,0.4
Dodol galamai,serealia,processed food,348.0,0.4,3.8,76.1,0.5
Dodol kedondong,serealia,processed food,331.0,1.9,7.6,63.8,1.0
Dodol manado,serealia,processed food,373.0,4.3,16.5,51.9,0.4
Gemblong,serealia,processed food,274.0,1.7,5.4,55.5,2.2
Gendar goreng,serealia,processed food,407.0,6.4,28.2,32.0,0.1
Intip goreng,serealia,processed food,474.0,7.6,21.6,62.3,1.2
Jagung gerontol,serealia,processed food,156.0,2.7,1.3,33.3,1.0
Jagung titi,serealia,processed food,374.0,9.4,2.2,79.1,0.8
Japilus,serealia,processed food,500.0,1.2,25.1,67.3,0.4
Kambose,serealia,processed food,164.0,3.0,2.4,32.6,4.3
Kapusa,serealia,processed food,158.0,4.4,3.2,27.8,5.3
Kelepon kue,serealia,processed food,215.0,3.7,3.7,41.8,1.0
Ketoprak,serealia,processed food,153.0,7.9,7.7,13.0,2.9
Koya,serealia,processed food,366.0,4.2,4.3,77.5,0.8
Koya mirasa,serealia,processed food,370.0,8.0,1.0,82.2,0.4
Kue ali,serealia,processed food,440.0,3.8,18.5,64.5,0.3
Kue jahe,serealia,processed food,425.0,1.6,8.8,84.6,1.2
Kue putu cangkir,serealia,processed food,304.0,5.3,7.0,54.9,0.9
Lapis legit,serealia,processed food,389.0,6.6,15.7,55.5,0.5
Lupis ketan,serealia,processed food,164.0,1.8,2.1,34.5,0.7
Masekat,serealia,processed food,369.0,2.1,7.0,74.1,4.0
Mie bakso,serealia,processed food,114.0,5.3,3.0,16.4,0.1
Nasi gemuk,serealia,processed food,192.0,3.8,8.8,24.4,0.7
Nasi gurih,serealia,processed food,190.0,4.7,7.5,26.0,0.7
Nasi minyak,serealia,processed food,207.0,3.5,5.0,37.1,0.8
Nopia spesial,serealia,processed food,387.0,5.3,7.6,74.3,0.3
Pundut nasi,serealia,processed food,104.0,1.9,4.1,15.1,0.4
Renggi goreng,serealia,processed food,471.0,4.7,21.8,64.1,6.4
Suwir-suwir,serealia,processed food,347.0,0.5,0.9,84.2,0.8
Tipa-tipa,serealia,processed food,355.0,6.2,1.2,79.8,1.3
Wajit camilan,serealia,processed food,303.0,6.3,2.7,63.3,6.9
Widaran,serealia,processed food,424.0,1.3,10.7,80.7,0.2
Wingko babat,serealia,processed food,355.0,3.2,15.1,51.4,2.4
Yangko,serealia,processed food,254.0,3.0,1.1,58.1,0.8
Kepala susu - krim segar,susu,single,204.0,2.6,20.0,4.0,0.0
Susu ibu - ASI,susu,single,62.0,1.5,3.2,7.0,0.0
Susu kambing segar,susu,single,64.0,4.3,2.3,6.6,0.0
Susu kuda segar,susu,single,40.0,2.0,1.1,5.4,0.0
Susu sapi segar,susu,single,61.0,3.2,3.5,4.3,0.0
Es krim,susu,processed food,210.0,4.0,12.5,20.6,0.0
Hangop,susu,processed food,65.0,10.0,1.0,3.5,0.0
Keju,susu,processed food,326.0,22.8,20.3,13.1,0.0
Kwark (Quark),susu,processed food,242.0,19.0,17.0,3.0,0.0
Susu asam untuk bayi bubuk,susu,processed food,418.0,19.0,9.0,65.5,0.0
Susu bubuk,susu,processed food,513.0,24.6,30.0,36.2,0.0
Susu kental manis,susu,processed food,343.0,8.2,10.0,55.0,0.0
Susu skim bubuk,susu,processed food,359.0,35.6,1.0,52.0,0.0
Yoghurt segar,susu,processed food,52.0,3.3,2.5,4.0,0.0
Telur ayam kampung segar,telur,single,174.0,10.8,14.0,1.2,0.0
Telur ayam ras segar,telur,single,154.0,12.4,10.8,0.7,0.0
Telur ayam ras bagian kuning segar,telur,single,355.0,16.3,31.9,0.7,0.0
Telur aAyam ras bagian putih segar,telur,single,50.0,10.8,0.0,0.8,0.0
Telur bebek alabio segar,telur,single,187.0,11.8,14.2,3.0,0.0
Telur bebek bagian kuning segar,telur,single,386.0,17.0,35.0,0.8,0.0
Telur bebek bagian putih segar,telur,single,54.0,11.0,0.0,0.8,0.0
Telur bebek tambak segar,telur,single,187.0,10.9,12.4,7.9,0.0
Telur penyu segar,telur,single,136.0,8.6,10.1,2.7,0.0
Telur burung puyuh segar,telur,single,116.0,10.7,7.0,1.6,0.0
Telur ayam dadar masakan,telur,processed food,251.0,16.3,19.4,1.4,0.0
Telur bebek dadar masakan,telur,processed food,301.0,20.0,23.7,0.0,0.0
Arrowroot segar,umbi berpati,single,102.0,1.0,0.2,24.1,1.7
Batatas gembili segar,umbi berpati,single,76.0,1.1,0.9,16.0,4.2
Batatas kelapa ubi segar,umbi berpati,single,89.0,1.1,0.1,21.0,4.0
Belitung talas segar,umbi berpati,single,145.0,1.2,0.4,34.2,1.5
Bengkuang segar,umbi berpati,single,59.0,1.4,0.2,12.8,1.0
Bentul (Komba) talas segar,umbi berpati,single,98.0,1.6,0.7,20.9,0.7
Gadung ubi segar,umbi berpati,single,100.0,0.9,0.3,23.5,2.1
Ganyong segar,umbi berpati,single,77.0,0.6,0.2,18.4,0.8
Gembili ubi segar,umbi berpati,single,131.0,1.1,0.2,31.3,1.1
Hofa/Ubi hutan segar,umbi berpati,single,127.0,1.2,0.5,29.5,3.4
Kaburan ubi segar,umbi berpati,single,133.0,1.0,0.2,32.2,0.7
Kentang segar,umbi berpati,single,62.0,2.1,0.2,13.5,0.5
Kentang hitam segar,umbi berpati,single,142.0,0.9,0.4,33.7,5.4
Keribang ubi segar,umbi berpati,single,137.0,1.3,1.1,29.8,0.6
Ketela pohon/ singkong segar,umbi berpati,single,154.0,1.0,0.3,36.8,0.9
Lepok/Ubi rumput,umbi berpati,single,181.0,2.8,1.2,39.8,10.7
Sagu aren kering,umbi berpati,single,355.0,0.6,1.1,85.6,0.3
Sagu aren segar,umbi berpati,single,231.0,0.6,0.2,56.6,3.2
Sagu kasbi segar,umbi berpati,single,230.0,0.6,0.2,56.5,3.0
Sagu lempeng,umbi berpati,single,347.0,0.9,0.3,85.2,4.7
Sente talas segar,umbi berpati,single,353.0,0.7,0.2,84.7,6.6
Suweg talas segar,umbi berpati,single,74.0,1.4,0.1,17.2,1.4
Talas bogor segar,umbi berpati,single,108.0,1.4,0.4,25.0,0.9
Talas pontianak segar,umbi berpati,single,163.0,2.3,0.5,36.4,0.7
Talas viqueque segar,umbi berpati,single,115.0,1.8,0.5,25.9,8.6
Ubi jalar kuning segar,umbi berpati,single,119.0,0.5,0.4,25.1,4.2
Ubi jalar manis segar,umbi berpati,single,83.0,1.5,0.2,18.8,0.6
Ubi jalar merah segar,umbi berpati,single,151.0,1.6,0.3,35.4,0.7
Ubi jalar putih segar,umbi berpati,single,88.0,0.4,0.4,20.6,4.0
Ubi jalar tinta/ kemayung,umbi berpati,single,108.0,0.5,0.4,25.6,4.2
Umbi Uwi segar,umbi berpati,single,120.0,2.8,0.5,82.3,2.6
Batatas kelapa ubi bakar,umbi berpati,processed food,110.0,1.4,1.1,23.4,4.5
Batatas kelapa ubi kukus,umbi berpati,processed food,92.0,1.2,0.3,21.0,4.1
Batatas tali ubi rebus,umbi berpati,processed food,182.0,2.4,0.4,42.2,9.2
Belitung talas kukus,umbi berpati,processed food,145.0,1.2,0.4,34.2,1.0
Bentul talas kukus,umbi berpati,processed food,71.0,2.3,0.3,15.4,0.5
Gadung ubi kukus,umbi berpati,processed food,88.0,0.6,0.3,20.9,0.9
Ganyong rebus,umbi berpati,processed food,100.0,0.8,0.2,23.8,0.9
Ketela pohon/ singkong kukus,umbi berpati,processed food,153.0,1.2,0.3,36.4,1.3
Suweg talas kukus,umbi berpati,processed food,93.0,1.5,0.1,21.9,0.9
Talas bogor kukus,umbi berpati,processed food,120.0,1.5,0.3,28.2,0.7
Ubi jalar kuning kukus,umbi berpati,processed food,100.0,0.7,0.3,23.8,1.0
Ubi jalar tinta/ kemayung kukus,umbi berpati,processed food,165.0,0.9,0.2,39.8,1.1
Bagea kw 1,umbi berpati,processed food,416.0,6.5,9.4,76.3,0.4
Bagea kw 2,umbi berpati,processed food,382.0,0.3,3.5,87.2,0.9
Biji nangka/Biji salak,umbi berpati,processed food,262.0,2.3,5.4,51.1,8.0
Cassavastick,umbi berpati,processed food,460.0,0.8,18.7,17.2,1.6
Ceriping getuk singkong,umbi berpati,processed food,462.0,1.2,20.7,67.7,0.6
Gatot,umbi berpati,processed food,347.0,1.3,0.7,83.8,5.8
Geblek,umbi berpati,processed food,195.0,0.4,1.7,44.4,3.6
Getuk goreng,umbi berpati,processed food,360.0,1.3,6.4,74.3,0.8
Getuk singkong,umbi berpati,processed food,204.0,0.5,1.4,47.4,0.8
Gurandil,umbi berpati,processed food,218.0,0.5,2.5,48.5,3.1
Kabuto,umbi berpati,processed food,250.0,2.6,2.5,35.4,1.8
Kapurung,umbi berpati,processed food,41.0,2.0,0.3,7.8,2.0
Kecimpring singkong goreng,umbi berpati,processed food,464.0,1.2,18.6,73.0,1.3
Keremes,umbi berpati,processed food,475.0,1.6,25.2,64.4,2.1
Keripik gadung,umbi berpati,processed food,446.0,2.8,14.5,76.0,1.7
Keripik kentang,umbi berpati,processed food,448.0,2.7,18.8,67.1,3.8
Keripik singkong,umbi berpati,processed food,478.0,0.9,20.7,72.0,2.0
Keripik singkong berbumbu,umbi berpati,processed food,481.0,2.2,19.7,73.6,1.6
Keripik ubi,umbi berpati,processed food,486.0,0.2,23.9,67.6,14.3
Kerupuk cumi goreng,umbi berpati,processed food,444.0,6.9,14.6,71.3,5.0
Kerupuk kemplang goreng,umbi berpati,processed food,504.0,5.6,28.1,57.1,0.3
Kerupuk kemplang panggang,umbi berpati,processed food,356.0,9.7,1.1,76.9,1.0
Kerupuk mie kuning goreng,umbi berpati,processed food,476.0,0.1,21.1,71.3,4.2
Kerupuk udang goreng,umbi berpati,processed food,477.0,4.7,20.5,68.5,5.0
Kue putu singkong,umbi berpati,processed food,217.0,1.2,0.5,53.2,2.4
Lanting getuk,umbi berpati,processed food,422.0,0.9,10.8,80.4,1.4
Mi golosor,umbi berpati,processed food,71.0,0.2,0.8,15.9,0.1
Mie Bendo,umbi berpati,processed food,353.0,0.3,0.0,88.0,2.4
Mie Sagu,umbi berpati,processed food,190.0,0.2,0.4,46.5,1.4
Ongol-ongol sagu,umbi berpati,processed food,111.0,0.3,2.7,21.2,0.3
Oyek,umbi berpati,processed food,351.0,0.9,0.9,84.9,4.3
Papeda,umbi berpati,processed food,61.0,0.2,0.1,14.9,0.5
Sagu Lemak (Kue Sagon),umbi berpati,processed food,452.0,2.8,14.8,76.8,1.1
Sagu Rendang,umbi berpati,processed food,364.0,0.1,0.2,90.5,1.9
Serimping talas kebumen,umbi berpati,processed food,478.0,2.5,21.2,69.2,1.7
Tapai singkong,umbi berpati,processed food,169.0,1.4,0.3,40.2,2.0
Tepung Arrowroot,umbi berpati,processed food,355.0,0.7,0.2,85.2,0.4
Tepung Ganyong,umbi berpati,processed food,353.0,0.8,1.7,83.6,0.7
Tepung Gaplek,umbi berpati,processed food,345.0,2.4,0.4,83.1,6.7
Tepung kentang kering,umbi berpati,processed food,347.0,0.3,0.1,85.6,0.4
Tepung Mocaf,umbi berpati,processed food,350.0,1.2,0.6,85.0,6.0
Tepung Sente,umbi berpati,processed food,326.0,4.0,0.4,76.7,8.5
Tepung singkong/ Tapioka,umbi berpati,processed food,363.0,1.1,0.5,88.2,0.9
Tepung Tales Beneng,umbi berpati,processed food,332.0,5.7,0.6,76.1,12.2
Tepung Ubi Ungu,umbi berpati,processed food,354.0,2.8,0.6,84.4,12.9
Tiwul,umbi berpati,processed food,353.0,2.4,1.1,83.4,6.5
Tiwul Instan,umbi berpati,processed food,395.0,3.2,8.5,76.5,4.2
Ubi Cilembu,umbi berpati,processed food,186.0,1.9,0.2,44.3,3.4
